step 0: train loss 4.1676, val loss 4.1649
iter 180: loss 2.4912, time 28.62ms, mfu 0.05%
iter 181: loss 2.4512, time 27.60ms, mfu 0.05%
iter 182: loss 2.4419, time 29.49ms, mfu 0.05%
iter 183: loss 2.5444, time 29.03ms, mfu 0.05%
iter 184: loss 2.4474, time 29.03ms, mfu 0.05%
iter 185: loss 2.5635, time 30.26ms, mfu 0.05%
iter 186: loss 2.5666, time 28.65ms, mfu 0.05%
iter 187: loss 2.5048, time 29.92ms, mfu 0.05%
iter 188: loss 2.4850, time 28.78ms, mfu 0.05%
iter 189: loss 2.5585, time 28.18ms, mfu 0.05%
iter 190: loss 2.5454, time 28.87ms, mfu 0.05%
iter 191: loss 2.5403, time 29.52ms, mfu 0.05%
iter 192: loss 2.4553, time 29.31ms, mfu 0.04%
iter 193: loss 2.5769, time 28.97ms, mfu 0.04%
iter 194: loss 2.4814, time 28.77ms, mfu 0.04%
iter 195: loss 2.4792, time 29.36ms, mfu 0.04%
iter 196: loss 2.4719, time 28.69ms, mfu 0.04%
iter 197: loss 2.4642, time 30.17ms, mfu 0.04%
iter 198: loss 2.4504, time 29.22ms, mfu 0.04%
iter 199: loss 2.4832, time 29.62ms, mfu 0.04%
iter 200: loss 2.5010, time 28.47ms, mfu 0.04%
iter 201: loss 2.4369, time 28.81ms, mfu 0.04%
iter 202: loss 2.4480, time 28.15ms, mfu 0.04%
iter 203: loss 2.5372, time 29.86ms, mfu 0.04%
iter 204: loss 2.4791, time 29.04ms, mfu 0.04%
iter 205: loss 2.4776, time 26.81ms, mfu 0.04%
iter 206: loss 2.4714, time 27.57ms, mfu 0.04%
iter 207: loss 2.5676, time 28.00ms, mfu 0.04%
iter 208: loss 2.3839, time 28.38ms, mfu 0.04%
iter 209: loss 2.5263, time 28.95ms, mfu 0.04%
iter 210: loss 2.4342, time 28.06ms, mfu 0.04%
iter 211: loss 2.5325, time 27.95ms, mfu 0.04%
iter 212: loss 2.4722, time 27.40ms, mfu 0.04%
iter 213: loss 2.4526, time 27.69ms, mfu 0.05%
iter 214: loss 2.5307, time 27.67ms, mfu 0.05%
iter 215: loss 2.5435, time 30.51ms, mfu 0.04%
iter 216: loss 2.5083, time 28.71ms, mfu 0.04%
iter 217: loss 2.4567, time 27.21ms, mfu 0.04%
iter 218: loss 2.5047, time 27.13ms, mfu 0.05%
iter 219: loss 2.4610, time 28.35ms, mfu 0.05%
iter 220: loss 2.4930, time 29.09ms, mfu 0.04%
iter 221: loss 2.5021, time 28.07ms, mfu 0.05%
iter 222: loss 2.4631, time 28.16ms, mfu 0.05%
iter 223: loss 2.5244, time 27.24ms, mfu 0.05%
iter 224: loss 2.3972, time 26.39ms, mfu 0.05%
iter 225: loss 2.5483, time 26.98ms, mfu 0.05%
iter 226: loss 2.4776, time 25.89ms, mfu 0.05%
iter 227: loss 2.4666, time 26.12ms, mfu 0.05%
iter 228: loss 2.4509, time 25.40ms, mfu 0.05%
iter 229: loss 2.5274, time 25.69ms, mfu 0.05%
iter 230: loss 2.4650, time 25.53ms, mfu 0.05%
iter 231: loss 2.4216, time 26.80ms, mfu 0.05%
iter 232: loss 2.4467, time 25.47ms, mfu 0.05%
iter 233: loss 2.4593, time 25.97ms, mfu 0.05%
iter 234: loss 2.4191, time 25.58ms, mfu 0.05%
iter 235: loss 2.4863, time 25.05ms, mfu 0.05%
iter 236: loss 2.4418, time 25.07ms, mfu 0.05%
iter 237: loss 2.4791, time 24.89ms, mfu 0.05%
iter 238: loss 2.5074, time 24.80ms, mfu 0.05%
iter 239: loss 2.4592, time 24.93ms, mfu 0.05%
iter 240: loss 2.5153, time 25.88ms, mfu 0.05%
iter 241: loss 2.4178, time 25.07ms, mfu 0.05%
iter 242: loss 2.4862, time 25.31ms, mfu 0.05%
iter 243: loss 2.4868, time 24.98ms, mfu 0.05%
iter 244: loss 2.4040, time 26.19ms, mfu 0.05%
iter 245: loss 2.5028, time 26.55ms, mfu 0.05%
iter 246: loss 2.4063, time 25.58ms, mfu 0.05%
iter 247: loss 2.4626, time 25.54ms, mfu 0.05%
iter 248: loss 2.4512, time 26.69ms, mfu 0.05%
iter 249: loss 2.4468, time 26.85ms, mfu 0.05%
step 250: train loss 2.4317, val loss 2.4448
saving checkpoint to out-shakespeare-char
iter 250: loss 2.4973, time 304.53ms, mfu 0.04%
iter 251: loss 2.3618, time 27.36ms, mfu 0.04%
iter 252: loss 2.4911, time 26.72ms, mfu 0.05%
iter 253: loss 2.4075, time 26.33ms, mfu 0.05%
iter 254: loss 2.4045, time 25.06ms, mfu 0.05%
iter 255: loss 2.4539, time 25.65ms, mfu 0.05%
iter 256: loss 2.3598, time 25.16ms, mfu 0.05%
iter 257: loss 2.3931, time 25.59ms, mfu 0.05%
iter 258: loss 2.4068, time 25.44ms, mfu 0.05%
iter 259: loss 2.3860, time 25.45ms, mfu 0.05%
iter 260: loss 2.4447, time 25.29ms, mfu 0.05%
iter 261: loss 2.4752, time 25.93ms, mfu 0.05%
iter 262: loss 2.4478, time 27.44ms, mfu 0.05%
iter 263: loss 2.4146, time 26.16ms, mfu 0.05%
iter 264: loss 2.4715, time 26.85ms, mfu 0.05%
